Parameter,Species,Value,Source,,,,,,,,,,
Wb,SERRFU,3,Bohnsack & Harper 1988,,,,,,,,,,
m50,SERRFU,,,,,,,,,,,,
m95,SERRFU,,,,,,,,,,,,
Linf,SERRGU,51.45,Sadovy et al 1992 Puerto Rico ,,,,,,,,,,
K,SERRGU,0.1013,Sadovy et al 1992 Puerto Rico ,,,,,,,,,,
t0,SERRGU,-2.944,Sadovy et al 1992 Puerto Rico ,,,,,,,,,,
tmax,SERRGU,17,Sadovy et al 1992 Puerto Rico ,,,,,,,,,,
M,SERRGU,0.176219546,Estimated from tmax (Sadovy et al 1992 PR),,,,,,,,,,
Linf,SERRGU,60.1,Sadovy et al 1992 St Thomas,,,,,,,,,,
K,SERRGU,0.0705,Sadovy et al 1992 St Thomas,,,,,,,,,,
t0,SERRGU,-4.69,Sadovy et al 1992 St Thomas,,,,,,,,,,
tmax,SERRGU,18,Sadovy et al 1992 St Thomas,,,,,,,,,,
M,SERRGU,0.166429571,Estimated from tmax (Sadovy et al 1992 St Thomas),,,,,,,,,,
tmax,SERRGU,22,Luckhurst et al 1992,,,,,,,,,,
M,SERRGU,0.136169649,Estimated from tmax (Luckhurst et al 1992),,,,,,,,,,
Wa,SERRGU,0.0111,Bohnsack & Harper 1988,,,,,,,,,,
Wb,SERRGU,3.1124,Bohnsack & Harper 1988,,,,,,,,,,
m50,SERRGU,,,,,,,,,,,,
m95,SERRGU,,,,,,,,,,,,
Linf,PTERVO,42.5,Barbour et al 2011,,,,,,,,,,
K,PTERVO,0.47,Barbour et al 2011,,,,,,,,,,
t0,PTERVO,0,Barbour et al 2011,,,,,,,,,,
M,PTERVO,0.2,Barbour et al 2011,,,,,,,,,,
M,PTERVO,0.5,Barbour et al 2011,,,,,,,,,,
Wa,PTERVO,,,,,,,,,,,,
Wb,PTERVO,,,,,,,,,,,,
m50,PTERVO,10,Barbour et al 2011,Male,,,,,,,,,
m95,PTERVO,11.4,Barbour et al 2011,Male,,,,,,,,,
m50,PTERVO,17.5,Barbour et al 2011,Female,,,,,,,,,
m95,PTERVO,19.95,Barbour et al 2011,Female,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,Male
,,,,,,,,,,,,,Female
